,alias,categories,coordinates,display_phone,is_closed,location,name,price,rating,review_count,transactions,url,permanently closed,outdoor_seating,price_cat,delivery,restaurant_reservation,pickup,zip_code,latitude,longitude,total_restaurants_in_zip,Population Density 
10,golden-mandarin-court-new-york,Chinese,"{'latitude': 40.715966, 'longitude': -73.998382}",(212) 608-3838,False,"{'address1': '61 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['61 Mott St', 'New York, NY 10013']}",Golden Mandarin Court,$$,3.0,202,"['pickup', 'delivery']",https://www.yelp.com/biz/golden-mandarin-court-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,10013,40.715966,-73.998382,537.0,48772.7
11,the-yard-astoria-4,European,"{'latitude': 40.77499, 'longitude': -73.91327}",(718) 932-2096,False,"{'address1': '29-11 23rd Ave', 'address2': '', 'address3': None, 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['29-11 23rd Ave', 'Astoria, NY 11105']}",The Yard,,4.5,34,"['delivery', 'pickup']",https://www.yelp.com/biz/the-yard-astoria-4?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,1,0,1,11105,40.77499,-73.91327,157.0,22559.5
12,blue-ribbon-brasserie-brooklyn-brooklyn,American (New),"{'latitude': 40.6742805, 'longitude': -73.982387}",,True,"{'address1': '280 5th Avenue', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['280 5th Avenue', 'Brooklyn, NY 11215']}",Blue Ribbon Brasserie - Brooklyn,$$$,4.0,579,"['pickup', 'delivery']",https://www.yelp.com/biz/blue-ribbon-brasserie-brooklyn-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,three,1,0,1,11215,40.6742805,-73.982387,353.0,31902.9
13,alfies-new-york,American (New),"{'latitude': 40.765437, 'longitude': -73.987278}",(212) 757-2390,False,"{'address1': '800 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['800 9th Ave', 'New York, NY 10019']}",Alfie's,$$,4.0,529,"['delivery', 'pickup']",https://www.yelp.com/biz/alfies-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10019,40.765437,-73.987278,720.0,56986.1
14,clay-pot-west-village-new-york-2,Chinese,"{'latitude': 40.73138, 'longitude': -74.00319}",(917) 775-6159,False,"{'address1': '270 Bleeker St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['270 Bleeker St', 'New York, NY 10014']}",Clay Pot - West Village,$$,4.5,89,"['delivery', 'pickup']",https://www.yelp.com/biz/clay-pot-west-village-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10014,40.73138,-74.00319,440.0,55901.7
15,the-poni-room-new-york,Seafood,"{'latitude': 40.72521, 'longitude': -73.99247}",(212) 254-0350,False,"{'address1': '316 Bowery', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['316 Bowery', 'New York, NY 10012']}",The Poni Room,,4.0,32,[],https://www.yelp.com/biz/the-poni-room-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,missing,0,0,0,10012,40.72521,-73.99247,449.0,76855.1
16,bedford-falls-new-york-2,American (New),"{'latitude': 40.7661503, 'longitude': -73.9625243}",(212) 717-8181,False,"{'address1': '206 E 67th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10065', 'country': 'US', 'state': 'NY', 'display_address': ['206 E 67th St', 'New York, NY 10065']}",Bedford Falls,$$,4.0,97,"['delivery', 'pickup']",https://www.yelp.com/biz/bedford-falls-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10065,40.7661503,-73.9625243,182.0,82215.9
17,k-rico-steakhouse-new-york,Steakhouses,"{'latitude': 40.764345, 'longitude': -73.98798}",(212) 757-9393,False,"{'address1': '772 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['772 9th Ave', 'New York, NY 10019']}",K Rico Steakhouse,$$$,4.5,612,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/k-rico-steakhouse-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,three,1,1,1,10019,40.764345,-73.98798,720.0,56986.1
18,zhongzhong-noodles-new-york-2,Noodles,"{'latitude': 40.762592, 'longitude': -73.949215}",(646) 870-0005,False,"{'address1': '568 Main St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10044', 'country': 'US', 'state': 'NY', 'display_address': ['568 Main St', 'New York, NY 10044']}",Zhongzhong Noodles,,4.5,44,[],https://www.yelp.com/biz/zhongzhong-noodles-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,missing,0,0,0,10044,40.762592,-73.949215,12.0,49860.2
19,little-mo-brooklyn,South Asian,"{'latitude': 40.69701, 'longitude': -73.93368}",(929) 210-8100,False,"{'address1': '1158 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['1158 Myrtle Ave', 'Brooklyn, NY 11221']}",Little Mo,$$,4.0,329,"['delivery', 'pickup']",https://www.yelp.com/biz/little-mo-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11221,40.69701,-73.93368,155.0,60559.1
20,scarpetta-new-york,European,"{'latitude': 40.744509, 'longitude': -73.9856}",(212) 691-0555,False,"{'address1': '88 Madison Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['88 Madison Ave', 'New York, NY 10016']}",Scarpetta,$$$,4.0,1925,[],https://www.yelp.com/biz/scarpetta-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,three,0,0,0,10016,40.744509,-73.9856,439.0,94164.6
21,rosies-new-york-2,Mexican,"{'latitude': 40.72492, 'longitude': -73.99079}",(212) 335-0114,False,"{'address1': '29 E 2nd St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['29 E 2nd St', 'New York, NY 10003']}",Rosie's,$$,4.0,720,"['pickup', 'delivery']",https://www.yelp.com/biz/rosies-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10003,40.72492,-73.99079,714.0,98998.8
22,osteria-cotta-new-york,Bars,"{'latitude': 40.78554, 'longitude': -73.97263}",(212) 873-8500,False,"{'address1': '513 Columbus Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['513 Columbus Ave', 'New York, NY 10024']}",Osteria Cotta,$$,4.0,883,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/osteria-cotta-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,1,1,10024,40.78554,-73.97263,202.0,69066.6
23,havana-cafe-bronx,Latin American,"{'latitude': 40.8379, 'longitude': -73.83437}",(718) 518-1800,False,"{'address1': '3151 E Tremont Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10461', 'country': 'US', 'state': 'NY', 'display_address': ['3151 E Tremont Ave', 'Bronx, NY 10461']}",Havana Cafe,$$,4.0,824,"['delivery', 'pickup']",https://www.yelp.com/biz/havana-cafe-bronx?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,1,0,1,10461,40.8379,-73.83437,160.0,21850.8
24,socarrat-paella-bar-chelsea-new-york-3,European,"{'latitude': 40.7426956, 'longitude': -73.9995488}",(212) 462-1000,False,"{'address1': '259 W 19th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['259 W 19th St', 'New York, NY 10011']}",Socarrat Paella Bar - Chelsea,$$$,4.0,1144,"['pickup', 'delivery']",https://www.yelp.com/biz/socarrat-paella-bar-chelsea-new-york-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,three,1,0,1,10011,40.7426956,-73.9995488,468.0,80408.9
25,horn-s-hook-tavern-new-york,American (Casual),"{'latitude': 40.774799, 'longitude': -73.95116}",(212) 879-1500,False,"{'address1': '1589 First Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1589 First Ave', 'New York, NY 10028']}",Horn’s Hook Tavern,,5.0,17,"['pickup', 'delivery']",https://www.yelp.com/biz/horn-s-hook-tavern-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,1,0,1,10028,40.774799,-73.95116,208.0,146955.3
26,very-fresh-noodles-new-york,Chinese,"{'latitude': 40.74207, 'longitude': -74.00565}",,False,"{'address1': '409 W 15th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['409 W 15th St', 'New York, NY 10011']}",Very Fresh Noodles,$$,4.5,1011,"['pickup', 'delivery']",https://www.yelp.com/biz/very-fresh-noodles-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10011,40.74207,-74.00565,468.0,80408.9
27,monomono-new-york-2,"Mobile, Events and Venues","{'latitude': 40.72549, 'longitude': -73.98803}",(917) 285-5034,False,"{'address1': '116 E 4th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['116 E 4th St', 'New York, NY 10003']}",MONOMONO,$$,4.0,480,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/monomono-new-york-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,1,1,10003,40.72549,-73.98803,714.0,98998.8
28,south-brooklyn-foundry-brooklyn,Breakfast & Brunch,"{'latitude': 40.63539, 'longitude': -74.02602}",(718) 333-5287,False,"{'address1': '6909 3rd Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['6909 3rd Ave', 'Brooklyn, NY 11209']}",South Brooklyn Foundry,$$,4.5,291,"['delivery', 'pickup']",https://www.yelp.com/biz/south-brooklyn-foundry-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11209,40.63539,-74.02602,278.0,33569.8
29,aquagrill-new-york,American (New),"{'latitude': 40.7253545576709, 'longitude': -74.0037010931698}",(212) 274-0505,True,"{'address1': '210 Spring St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['210 Spring St', 'New York, NY 10012']}",Aquagrill,$$$,4.0,1360,[],https://www.yelp.com/biz/aquagrill-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,three,0,0,0,10012,40.7253545576709,-74.0037010931698,449.0,76855.1
30,sala-one-nine-new-york,European,"{'latitude': 40.7398849, 'longitude': -73.9931044}",(212) 229-2300,True,"{'address1': '35 W 19th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['35 W 19th St', 'New York, NY 10011']}",Sala One Nine,$$,4.0,812,"['pickup', 'delivery']",https://www.yelp.com/biz/sala-one-nine-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,two,1,0,1,10011,40.7398849,-73.9931044,468.0,80408.9
31,le-reveil-coffee-new-york-3,Breakfast & Brunch,"{'latitude': 40.76716, 'longitude': -73.95922}",(646) 692-4109,False,"{'address1': '1322 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1322 2nd Ave', 'New York, NY 10021']}",Le Reveil Coffee,$,4.0,139,"['pickup', 'delivery']",https://www.yelp.com/biz/le-reveil-coffee-new-york-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,one,1,0,1,10021,40.76716,-73.95922,162.0,108864.6
32,la-parisienne-new-york-5,Breakfast & Brunch,"{'latitude': 40.70961, 'longitude': -74.0093799}",(646) 756-4911,False,"{'address1': '9 Maiden Ln', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['9 Maiden Ln', 'New York, NY 10038']}",La Parisienne,$$,4.5,497,"['delivery', 'pickup']",https://www.yelp.com/biz/la-parisienne-new-york-5?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,10038,40.70961,-74.0093799,216.0,70556.6
33,georges-brooklyn-2,American (Casual),"{'latitude': 40.6388314068317, 'longitude': -73.9686016738415}",(718) 484-4971,False,"{'address1': '753 Coney Island Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11218', 'country': 'US', 'state': 'NY', 'display_address': ['753 Coney Island Ave', 'Brooklyn, NY 11218']}",George's,$$,4.5,149,"['pickup', 'delivery']",https://www.yelp.com/biz/georges-brooklyn-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11218,40.6388314068317,-73.9686016738415,157.0,52602.7
34,foragers-table-new-york-3,American (New),"{'latitude': 40.744541, 'longitude': -73.9990926}",(212) 243-8888,False,"{'address1': '233 8th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['233 8th Ave', 'New York, NY 10011']}",Foragers Table,$$,4.0,550,"['pickup', 'delivery']",https://www.yelp.com/biz/foragers-table-new-york-3?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,1,0,1,10011,40.744541,-73.9990926,468.0,80408.9
35,quality-eats-new-york,Steakhouses,"{'latitude': 40.7345, 'longitude': -74.00004}",(212) 337-9988,False,"{'address1': '19 Greenwich Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['19 Greenwich Ave', 'New York, NY 10014']}",Quality Eats,$$$,4.0,431,"['pickup', 'delivery']",https://www.yelp.com/biz/quality-eats-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,1,0,three,1,0,1,10014,40.7345,-74.00004,440.0,55901.7
36,effys-kitchen-new-york-9,American (Casual),"{'latitude': 40.7693069, 'longitude': -73.95823}",(646) 930-3021,False,"{'address1': '1393B  2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['1393B  2nd Ave', 'New York, NY 10029']}",Effy's Kitchen,$$,4.0,102,"['pickup', 'delivery']",https://www.yelp.com/biz/effys-kitchen-new-york-9?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,0,two,1,0,1,10029,40.7693069,-73.95823,228.0,94363.1
37,baci-ristorante-brooklyn,European,"{'latitude': 40.62452, 'longitude': -74.03091}",(718) 333-5879,False,"{'address1': '8424 3rd Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11209', 'country': 'US', 'state': 'NY', 'display_address': ['8424 3rd Ave', 'Brooklyn, NY 11209']}",Baci Ristorante,,4.5,119,"['delivery', 'pickup']",https://www.yelp.com/biz/baci-ristorante-brooklyn?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,1,0,1,11209,40.62452,-74.03091,278.0,33569.8
38,sushi-nonaka-new-york,Japanese,"{'latitude': 40.783672, 'longitude': -73.978343}",(646) 454-0226,False,"{'address1': '410 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['410 Amsterdam Ave', 'New York, NY 10024']}",Sushi Nonaka,,5.0,53,"['pickup', 'delivery']",https://www.yelp.com/biz/sushi-nonaka-new-york?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,missing,1,0,1,10024,40.783672,-73.978343,202.0,69066.6
39,cream-ridgewood-ridgewood-2,American (New),"{'latitude': 40.70077, 'longitude': -73.89956}",(718) 576-3237,False,"{'address1': '59 09 71st Ave', 'address2': '', 'address3': None, 'city': 'Ridgewood', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['59 09 71st Ave', 'Ridgewood, NY 11385']}",Cream Ridgewood,$$,4.0,103,"['pickup', 'delivery']",https://www.yelp.com/biz/cream-ridgewood-ridgewood-2?adjust_creative=lX2bih-ddnUYOCHmROLS0A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lX2bih-ddnUYOCHmROLS0A,0,1,two,1,0,1,11385,40.70077,-73.89956,318.0,27472.6
